States,2010,2011,2012,2013,2014,2015,Avg_2011-2015,Lat,Lng
Alabama,1,1,0,0,2,6,1.8,32.806671,-86.79113
Alaska,2245,1409,1166,1329,1296,1575,1355,61.370716,-152.404419
Arizona,6,7,4,3,31,10,11,33.729759,-111.431221
Arkansas,15,44,4,4,1,0,10.6,34.969704,-92.373123
California,546,195,243,240,191,130,199.8,36.116203,-119.681564
Colorado,4,23,7,2,13,7,10.4,39.059811,-105.311104
Connecticut,0,0,0,0,0,1,0.2,41.597782,-72.755371
Delaware,0,0,0,0,0,0,0,39.318523,-75.507141
Florida,0,0,0,0,0,0,0,27.766279,-81.686783
Georgia,0,0,0,0,0,0,0,33.040619,-83.643074
Hawaii,17,34,40,30,26,53,36.6,21.094318,-157.498337
Idaho,7,4,4,11,31,38,17.6,44.240459,-114.478828
Illinois,1,0,2,1,0,1,0.8,40.349457,-88.986137
Indiana,1,0,3,0,0,0,0.6,39.849426,-86.258278
Iowa,0,0,0,0,0,0,0,42.011539,-93.210526
Kansas,0,0,0,2,42,60,20.8,38.5266,-96.726486
Kentucky,0,0,2,0,0,0,0.4,37.66814,-84.670067
Louisiana,1,0,0,0,0,0,0,31.169546,-91.867805
Maine,1,0,1,1,0,0,0.4,44.693947,-69.381927
Maryland,1,0,0,0,0,0,0,39.063946,-76.802101
Massachusetts,0,0,0,0,0,0,0,42.230171,-71.530106
Michigan,0,0,0,0,0,2,0.4,43.326618,-84.536095
Minnesota,0,0,0,0,1,0,0.2,45.694454,-93.900192
Mississippi,0,0,0,0,0,3,0.6,32.741646,-89.678696
Missouri,2,3,2,0,1,5,2.2,38.456085,-92.288368
Montana,7,11,9,14,29,19,16.4,46.921925,-110.454353
Nebraska,2,0,1,0,0,3,0.8,41.12537,-98.268082
Nevada,38,86,22,34,161,172,95,38.313515,-117.055374
New Hampshire,1,0,0,0,0,0,0,43.452492,-71.563896
New Jersey,0,0,0,0,0,0,0,40.298904,-74.521011
New Mexico,7,7,3,6,3,12,6.2,34.840515,-106.248482
New York,0,1,0,0,0,2,0.6,42.165726,-74.948051
North Carolina,0,0,0,0,1,0,0.2,35.630066,-79.806419
North Dakota,0,0,1,0,0,0,0.2,47.528912,-99.784012
Ohio,1,3,0,1,1,0,1,40.388783,-82.764915
Oklahoma,41,63,34,103,585,888,334.6,35.565342,-96.928917
Oregon,4,0,4,2,4,3,2.6,44.572021,-122.070938
Pennsylvania,0,0,0,0,0,0,0,40.590752,-77.209755
Rhode Island,0,0,0,0,0,0,0,41.680893,-71.51178
South Carolina,0,0,0,0,3,0,0.6,33.856892,-80.945007
South Dakota,0,3,1,1,1,0,1.2,44.299782,-99.438828
Tennessee,1,0,4,1,1,1,1.4,35.747845,-86.692345
Texas,9,18,11,16,8,21,14.8,31.054487,-97.563461
Utah,17,16,16,6,10,4,10.4,40.150032,-111.862434
Vermont,0,0,0,0,0,0,0,44.045876,-72.710686
Virginia,1,7,4,0,1,0,2.4,37.769337,-78.169968
Washington,5,14,6,18,6,11,11,47.400902,-121.490494
West Virginia,1,0,0,1,0,0,0.2,38.491226,-80.954453
Wisconsin,0,0,0,0,0,0,0,44.268543,-89.616508
Wyoming,43,6,9,73,179,198,93,42.755966,-107.30249
